tweet,target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target_confidence,AdjustedScore
#YesAllWomen maybe if #TravisAlexander committed #violenceagainstwomen he'd be alive today #JodiArias,Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3751,-0.3751
"Not me though, I do approach. One life.",Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3756,-0.3756
"Apparently this year is the Year of the Woman. You know, we would have given you two if you'd asked.",Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3824,-0.3824
@KellyHollon44 #HilaryClinton married to a serial violent sex offender & cocaine trafficker? Go corporate,Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3871,-0.3871
"The closest gender study graduate would ever come to studying computer science..  ..is by uttering the word ""binary""",Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3904,-0.3904
"@MezzoMiller @fakedansavage roid rage, women doping to look like machismo boy/men #misogyny",Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4884,-0.4884
"@narendramodi whn men bring some property,wife bring some, u call that wrong?, u brand it as dowry?",Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4931,-0.4931
"If I pretend people are calling me ugly, I can post a selfie and brag about myself! Disagreement will equal misogyny!",Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4951,-0.4951
"@_sarcasmspasm @MT8_9 #KillAllMen, anyone? Oh sorry, that's ""ironic misandry"". Feminist comedy, ladies and gentlerapists.",Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4972,-0.4972
.@feminismvibes What rights do men have in your country that women lack?,Feminist Movement,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4972,-0.4972
