tweet,target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target_confidence,AdjustedScore
@kobikihara being a leader isnt abt what position u r in da society. U take da lead of being accountable whn u gt her prego,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3696,-0.3696
Planned Parenthood is the #1 abortion preventer in the US. How is that concept so difficult to grasp?,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3699,-0.3699
Harassing & guilting women* doesn't reduce abortions. Easy to access affordable child care does.,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3741,-0.3741
"Just make sure that if #lovecantwait, you use a #condom, whoever you are!",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3776,-0.3776
My pregnant girlfriend is getting an abortion tonight. Dont tell her is supposed to be a suprise. #Conservative,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3866,-0.3866
"@GodlyPghDad Depicting women as headless, x-rayed torsos hardly relfects #AllLivesMatter . #misogyny",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4929,-0.4929
"O yea, Kool and The Gang? ""Celebrate Good Times?"" Whatever happened to ""Celebate, Good Times?""   #ArrestKool #JesusSaves #TCOT",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5034,-0.5034
Assault harrassment pain torchure death murder  #EverydaySexism,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5043,-0.5043
What does reduce abortions: -Cheap contraceptives  -Sex education  -Affordable education.,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.512,-0.512
Body parts of 1-3 day old infant found friday on 104th & Figueroa Bl in #LosAngeles not worse than nor does it justify excuses for,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5129,-0.5129
"If @DWStweets is the best the ""choice"" activists have, it feels insulting to engage with such fluffy softballs. @feministing",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5145,-0.5145
"RT @RogerIsCatholic: MT @EsmeraldaKiczek: I'm not abandoning the Cross, even if I can't control the storm",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5147,-0.5147
"Approximately 22 million unsafe abortions take place worldwide, according to a 2015 study by the World Health Organization (WHO)'",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5161,-0.5161
Don't fuck with my rights. Don't fuck with my alcohol. Don't fuck with my country. Don't fuck with the tiny spawns. #ProUSA,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5168,-0.5168
Hey baby I want to see my baby vacuumed out of you. #DailyThoughtsIn4Words #KarenBuckley #blackparent #drunkenmistake #slutplz,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5168,-0.5168
RT @brandonmcg: Scrolling through the #Gosnell grand jury report for a piece a few days after having a baby is quite affecting.,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5171,-0.5171
God bless Chik Fil-A and HobbyLobby! #Fortnight4Freedom #EndHHSmandate #StopHillary2016 #WellesleyRepublican,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5172,-0.5172
"MT @EsmeraldaKiczek: I'm not abandoning the Cross, even if I can't control the storm",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5213,-0.5213
I support the right of a woman to abort her baby up to 37 years of age. I mean it's just a lump of tissue right?  #womensrights,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5218,-0.5218
RT @RogerIsCatholic: we remind ourselves that love means to be willing to give until it hurts - Mother Teresa,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5243,-0.5243
Idiot: how would you feel if your mom aborted you?  Me: nothing cause I would be fucking dead.,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6176,-0.6176
@codeinediva Like i said you are weak. We are strong!   #Christian  #WeWillOvercome,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6312,-0.6312
"So, you tell me... is murder okay if the victim is mentally disabled?",Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6323,-0.6323
Agree choice if woman's life in danger.  But rape - does the baby deserve death for crime of his/her father? @HelpBillColeman,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.637,-0.637
Patient advocate Stephen Casey of Texas Center for Defense of Life strongly supports #HB3074. #TXlege,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6373,-0.6373
like i really need to walk past a bunch of aborted babies to get into the union. get out of my peripheral,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6403,-0.6403
@JimDDaniels1 Plenty of reasons for Christians not to support Hillary. Not the least of which in my mind is her stand (w/Dems) on,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6478,-0.6478
I am just as much a feminist as any pro-choicer. I simply carry my beliefs to their logical conclusion. #faminism #YesAllWomen,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6489,-0.6489
we remind ourselves that love means to be willing to give until it hurts - Mother Teresa,Legalization of Abortion,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.6496,-0.6496
