tweet,target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target,q1_from_reading_the_tweet_which_of_the_options_below_is_most_likely_to_be_true_about_the_stance_or_outlook_of_the_tweeter_towards_the_target_confidence,AdjustedScore
Omg #TJHooker.. I used to watch that too .. Wow.. A women in the Whit House.. Who would have thought.? #TheGoldbergs,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.2575,-0.2575
63% Think Hillary Clinton May Have Helped Foreign Donors As Secretary of State @Rasmussen_Poll,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.2588,-0.2588
@DemocratHashtag #GOP will continue to widen their field of candidates until they find someone named Ben Ghazi to run against,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3683,-0.3683
"@nm_edm: @HillaryClinton but if you said ""give me rainbow"" youre not as 1337 as #cctf thought #edm #infosec #HowIBecameAFan",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3756,-0.3756
#hillaryclinton is a champion of cattle futures.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.378,-0.378
@HellOfAPrez @tompainejr12 Yip. Obama Dems are already undermining #tcot,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3813,-0.3813
"Hillary 2007: ""I certainly think the free market has failed.""  #tcot",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.3845,-0.3845
"My grandparents were all immigrants, except those that weren't. #HillaryClinton #misspoke #Oops",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4704,-0.4704
"As @HillaryClinton  rails against big $ in politics, she is expected to bring in 2 BILLION DOLLARS! ",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4854,-0.4854
#HillaryClinton is the champion of the potemkin candidacy.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4885,-0.4885
#DougHughes #gyrocopter #pilot is the only honest person 2 enter the #whitehouse in a long time #USA #corruption #congress #gop,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4933,-0.4933
RT @FutureTXLeader: Who in #SanAntonio #Texas #SA #TX is ready for #MarcoRubio in #2016 #210 #Spurs #TeaParty #GOP #Republican...,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.4962,-0.4962
US will have over $21 TRILLION in DEBT by time @BarackObama leaves office. More than double debt of ALL 43 Presidents. #Libs,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5034,-0.5034
@AmericaNewsroom @HillaryClinton She will be doing that for the entire campaign...mark my words!,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.504,-0.504
I'll be #ThatChampion because being Mrs. Bill Clinton *entitles* me to be.,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5074,-0.5074
@Cheryl_RRios! She is so wrong & so sexist! She's a dumb bitch!,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.509,-0.509
RT @FutureTXLeader: Are you #SouthernMethodistUniversity students ready for #MarcoRubio in #2016 #SMU #Mustangs #Rubio #NewAme...,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5118,-0.5118
Hey #UniversityOfTexas are y'all ready for #MarcoRubio in #2016 #NewAmericanCentury #UT #HookEm #Texas #Longhorns #Rubio #TCOT,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5122,-0.5122
"@realDonaldTrump Sir, you have my vote. #Trump2016",Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5122,-0.5122
The media is so vocal about possibility of a women president but haven't said ANYTHING about the 1st Latino President #Bias,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.513,-0.513
Bill was a liar but likable. #tcot,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5139,-0.5139
RT @FutureTXLeader: Students of #BaylorUniversity are y'all ready for #MarcoRubio in #2016 #BU #Baylor #Bears #BaylorBears #Ne...,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5139,-0.5139
RT @FutureTXLeader: #UniversityOfNorthTexas are y'all ready for #MarcoRubio in #2016 #UNT #MeanGreen #NorthTexas #Eagles #NewA...,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5178,-0.5178
@nprnews @ClintonFdn received  at least $8.6 million from the Victor Pinchuk Foundation just prior to to Ukrainian coup in Kiev,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5293,-0.5293
Hillary's Trip Journal Day 4: I don't remember Arkansas cows smelling as bad as these Iowa cows smell.  #tcot #TaxDay,Hillary Clinton,"AGAINST: We can infer from the tweet that the tweeter is against the target (e.g., directly or indirectly by opposing or criticizing someone/something, by supporting someone/something opposed to the target, or by echoing the stance of somebody else).",0.5395,-0.5395
